"BirdID","StartHex","Year","EndHex","Disperser","Forestd","Agrcltr","Develpd","Shrub","Herbacs","Wetlnds","Water","Road_KM","X","Y","Ag_Indx","Cnnctnc","Edg_Dns","Sex","Age"
8,"Grid_1000",2018,"Grid_1026",1,0.724413622893692,0.002954697534566,0.025905745148647,0.013730653248864,0.012896385709692,0.217830730592417,0.002268164872122,116.233811068642,539198.013677839,4991017.08983335,90.3554399212742,35.1349803741501,64.4424989959752,"M","A"
19,"Grid_766",2018,"Grid_766",0,0.628925484452239,0.09589793499523,0.05061815238444,0.003700241864768,0.007072858147759,0.21060543280303,0.003179895352535,551.067817544325,489924.795023441,4981534.45516573,87.770596162501,23.7896686566487,81.6900838743416,"M","A"
34,"Grid_844",2018,"Grid_844",0,0.559775769362773,0.119525137944083,0.040393195638591,0.01379880844473,0.016210079818363,0.247639330124172,0.002657678667289,386.304705841186,506349.201149997,4991017.09030695,86.8002607208576,22.1796710923423,88.1330663684981,"M","A"
144,"Grid_294",2020,"Grid_294",0,0.726530967292972,0.057602644398051,0.047077244258873,0.018423799582463,0.018223729993041,0.122529575504523,0.009612038970077,611.338963803098,391378.358539185,4905673.37354367,90.0418179057151,34.849963995545,66.5210507459927,"M","A"
145,"Grid_294",2020,"Grid_294",0,0.726530967292972,0.057602644398051,0.047077244258873,0.018423799582463,0.018223729993041,0.122529575504523,0.009612038970077,611.338963803098,391378.358539185,4905673.37354367,90.0418179057151,34.849963995545,66.5210507459927,"M","J"
152,"Grid_294",2020,"Grid_294",0,0.726530967292972,0.057602644398051,0.047077244258873,0.018423799582463,0.018223729993041,0.122529575504523,0.009612038970077,611.338963803098,391378.358539185,4905673.37354367,90.0418179057151,34.849963995545,66.5210507459927,"M","A"
162,"Grid_817",2020,"Grid_894",1,0.63309810071441,0.096123017947378,0.063338560724865,0.016997734797003,0.016326886217111,0.1631294650636,0.010986234535633,935.758376779919,500874.399471282,4962569.18425304,87.9871212225018,26.1492788325911,80.2259397301436,"M","J"
170,"Grid_685",2020,"Grid_685",0,0.641486978437413,0.134319868384206,0.044901638196584,0.006274502940353,0.018919770372445,0.142904648557827,0.011192593111173,617.951704105046,473500.389440195,4934121.27851148,88.5255461593213,27.1866706358167,76.6483778419187,"M","A"
174,"Grid_893",2020,"Grid_920",1,0.619679641870388,0.026151505613262,0.086542160668695,0.014802574056587,0.029570174518239,0.055590529150491,0.167663414122338,583.07507248565,517298.80614238,4934121.27788585,90.0371661741033,28.5671892455188,66.6250621179027,"M","A"
186,"Grid_867",2020,"Grid_867",0,0.405575460980512,0.012278248711002,0.056427510268286,0.018788779166303,0.016420519094643,0.039526347985668,0.450983133793586,496.783136947719,511824.004189795,4924638.64258689,93.2430791537174,33.5582351316391,45.3497443009448,"M","J"
217,"Grid_1241",2019,"Grid_1267",1,0.432658787976904,0.134973827640171,0.103944741244401,0.008450704225352,0.014451459716151,0.296929469537532,0.00859100965949,550.440544090501,588471.230677164,5114291.34901172,86.8247960303466,25.8227290415342,87.9286931900263,"M","A"
224,"Grid_659",2019,"Grid_685",1,0.727863892825163,0.091109043963591,0.038269275909134,0.023264103210551,0.02668938597025,0.087579437871109,0.005224860250202,438.954186816308,468025.58748797,4924638.64321153,88.7306188956426,33.1097327053912,75.2217503105949,"M","J"
230,"Grid_451",2020,"Grid_503",1,0.678726558639166,0.049418680261139,0.055522320770585,0.007924328729593,0.01788609427697,0.104550853555978,0.08597116376657,596.869438798288,424227.170790303,4924638.64383545,89.3265467672278,30.6450633763983,71.3068099737078,"M","A"
234,"Grid_1241",2019,"Grid_1267",1,0.432658787976904,0.134973827640171,0.103944741244401,0.008450704225352,0.014451459716151,0.296929469537532,0.00859100965949,550.440544090501,588471.230677164,5114291.34901172,86.8247960303466,25.8227290415342,87.9286931900263,"M","A"
248,"Grid_633",2020,"Grid_633",0,0.528400153797756,0.12025935894299,0.039026180572547,0.006431542521584,0.018158621412842,0.271383131182495,0.016341011569786,873.378526209259,462550.785265298,4934121.27866777,88.8238532352117,24.7228031839986,74.7052212177159,"M","A"
251,"Grid_1000",2018,"Grid_1052",1,0.724413622893692,0.002954697534566,0.025905745148647,0.013730653248864,0.012896385709692,0.217830730592417,0.002268164872122,116.233811068642,539198.013677839,4991017.08983335,90.3554399212742,35.1349803741501,64.4424989959752,"F","A"
258,"Grid_844",2018,"Grid_844",0,0.559775769362773,0.119525137944083,0.040393195638591,0.01379880844473,0.016210079818363,0.247639330124172,0.002657678667289,386.304705841186,506349.201149997,4991017.09030695,86.8002607208576,22.1796710923423,88.1330663684981,"F","J"
275,"Grid_766",2018,"Grid_766",0,0.628925484452239,0.09589793499523,0.05061815238444,0.003700241864768,0.007072858147759,0.21060543280303,0.003179895352535,551.067817544325,489924.795023441,4981534.45516573,87.770596162501,23.7896686566487,81.6900838743416,"F","A"
