"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"Ag.cov",-0.0756043258112723,0.112797213929442,-0.299310329162393,-0.0754102417317384,0.146719348861503,-0.0749750494271428,3.28913914117912e-06
"Dev.cov",-0.0824213218880742,0.151454722493419,-0.39488571141871,-0.0778335533578734,0.205085270705575,-0.0688910195617676,3.07092653100477e-05
"Wetland.cov",-0.655234071179499,0.171171348059878,-1.01409026634835,-0.648360972622404,-0.335869341292264,-0.63544502541747,4.77347315507256e-05
"Slope.cov",0.0240676723808724,0.00825603417345477,0.00828406336815118,0.0238767866936962,0.0410192739512438,0.0235581376089835,1.64266405247207e-05
"DtR.cov",-5.55961601098277e-05,0.000121409107535709,-0.000290238467247314,-5.74770670657672e-05,0.000189602522717405,-6.10935411677703e-05,5.44929244385129e-06
"DtFE.cov",-0.00442615038637068,0.000983323205088399,-0.00644290133887202,-0.00440174240740491,-0.00254659290323834,-0.00435650290064183,7.27611180777459e-06
"sl_",12.7338787617624,6.24991119387367,0.31415598147807,12.7850375914953,24.8584349438945,12.8870516002646,5.89871981637155e-08
